# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=1
# stan_version_patch=0
# init=random
# seed=385583929
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=./diagnostic_file.dat_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,alpha,beta,p_alpha,p_beta,g_alpha,g_beta
-85.2757,0.647026,0.785617,1,0,-4.63054,-3.03722,8.45863,1.22579,6.37216,2.29712
-86.8648,0.870302,0.556795,1,0,-4.40736,-3.15113,3.95824,-2.83079,11.9118,5.53791
-86.8648,0.0207346,1.34191,0,0,-4.40736,-3.15113,0.641353,-2.35979,11.9118,5.53791
-86.8648,6.43227e-110,3.25382,0,1,-4.40736,-3.15113,-0.33994,-2.05324,11.9118,5.53791
-86.1739,1,0.324429,1,0,-4.39679,-3.31507,0.938738,3.77022,8.82865,4.17567
-86.7618,0.981573,0.340057,1,0,-4.28954,-3.40809,2.9896,-2.61072,10.5154,5.50749
-85.2725,1,0.438102,1,0,-4.56904,-3.56708,6.02064,1.31212,-1.00278,-2.00027
-85.2725,0.40663,0.685321,0,0,-4.56904,-3.56708,-5.65278,-3.61766,-1.00278,-2.00027
-85.7389,0.998039,0.189652,3,0,-4.31452,-3.93096,7.18369,-3.26488,-1.38327,-2.22407
-85.1658,0.997789,0.32733,2,0,-4.5413,-3.47767,-3.56935,3.41399,1.27218,-0.463943
-84.7771,0.868837,0.58799,1,0,-4.72335,-3.12499,-0.163263,-3.59978,2.22062,0.071757
-84.7354,0.982358,0.719793,0,0,-4.75373,-3.0091,1.75845,-0.76957,3.10964,0.599852
-84.7354,0.000937782,1.27611,0,0,-4.75373,-3.0091,-4.30738,-2.37382,3.10964,0.599852
-84.4944,0.999922,0.102539,4,0,-5.14107,-2.62685,3.61581,-2.034,-2.42328,-0.678311
-84.3948,0.995788,0.195294,2,0,-5.02865,-2.58039,4.38226,0.657777,0.703115,0.716121
-85.117,0.913687,0.367622,1,0,-4.8604,-2.49951,-5.77697,-0.80063,6.28611,2.97045
-84.4326,1,0.534476,1,0,-4.92212,-2.7629,2.18942,3.10542,1.64759,0.333796
-86.0455,0.787875,1.01363,2,0,-4.67302,-2.68498,3.89989,-1.67979,10.3658,4.0022
-84.5191,1,0.994138,0,0,-5.16022,-2.58731,6.16565,-0.835208,-2.53,-0.470544
-84.7242,0.203193,1.86677,0,0,-4.96105,-2.46008,-1.76645,-1.76638,3.62396,2.33933
-84.6724,0.993376,0.310651,1,0,-5.01679,-2.40934,2.57217,0.945824,2.47418,2.32524
-84.3949,0.999729,0.572611,1,0,-4.98405,-2.79244,0.127255,2.25925,-0.282998,-0.589165
-85.9962,0.443126,1.06594,1,0,-4.35748,-3.44306,-1.64294,2.34401,7.40541,3.56647
-85.1093,1,0.379058,1,0,-4.58075,-3.45094,-5.54712,-0.275628,0.699714,-0.85446
-84.5659,0.938858,0.702145,1,0,-4.8296,-2.95241,4.86236,-1.7185,1.79764,-0.00570677
-84.5659,0.142743,1.07798,0,0,-4.8296,-2.95241,-0.886162,-4.61638,1.79764,-0.00570677
-84.6137,0.997659,0.165723,2,0,-4.83429,-2.82405,0.712615,-2.25116,3.34787,0.926652
-85.0221,0.96231,0.302652,1,0,-4.97674,-3.12293,-2.87938,-2.32307,-3.91922,-3.35374
-85.282,0.81043,0.495069,0,0,-4.69616,-2.85362,-6.8136,-2.68251,7.15424,2.61361
-85.2613,1,0.524275,0,0,-4.71077,-2.82156,-2.29578,-0.311909,7.1478,2.61768
-85.2821,0.990619,0.940498,1,0,-4.59443,-3.55709,-2.55586,3.70012,-1.45066,-2.31058
-85.2821,2.49403e-05,1.62805,0,0,-4.59443,-3.55709,-3.51325,-3.78117,-1.45066,-2.31058
-84.4443,0.999765,0.185285,3,0,-5.03186,-2.52462,-4.6091,3.03869,1.11487,1.16812
-84.9586,0.984584,0.330247,1,0,-5.25159,-2.28857,-4.49719,1.58931,-2.5733,2.0686
-84.5689,0.899979,0.5597,2,0,-5.09036,-2.79726,1.7653,-4.13149,-2.83818,-1.72536
-85.5667,0.857781,0.750175,1,0,-5.00788,-2.16687,-2.65842,-0.645287,4.39154,4.89315
-85.2112,0.13364,0.89481,1,0,-4.65923,-3.4843,6.71115,-7.87755,-1.80893,-2.53388
-85.6264,0.999389,0.158543,3,0,-4.33292,-3.86258,-6.01246,1.24658,-0.528224,-1.58391
-86.3536,0.949824,0.276184,1,0,-4.55857,-3.86541,1.9575,-2.14635,-5.63489,-5.52085
-86.2398,1,0.419503,1,0,-4.59149,-3.81086,0.0440789,-1.91699,-5.45635,-5.34488
-86.9658,0.887004,0.720121,1,0,-4.02318,-3.83198,4.61268,-0.224603,9.31037,5.91282
-84.7972,0.920666,0.919129,1,0,-4.81056,-2.7587,6.80102,-3.0164,4.87518,1.70285
-84.7972,0.11102,1.27263,0,0,-4.81056,-2.7587,-0.210408,-1.78225,4.87518,1.70285
-85.7597,0.997555,0.229588,3,0,-4.61958,-3.68228,-2.26145,0.641836,-4.04869,-4.20904
-86.1821,0.994589,0.387061,2,0,-4.16567,-3.76162,0.399418,-2.27983,6.35579,3.51241
-85.777,0.99263,0.642795,1,0,-4.67896,-3.62801,-4.02206,2.90826,-4.47823,-4.47961
-86.936,0.444196,1.05454,1,0,-4.36924,-3.21893,1.81349,0.650846,11.8766,5.73728
-88.0093,0.890385,0.450771,1,0,-4.4329,-2.90934,5.7075,-2.6815,15.8321,6.7534
-85.0499,1,0.574595,0,0,-4.62769,-3.41278,5.17339,5.00919,0.133952,-1.22999
-85.0499,0.445407,0.950108,1,0,-4.62769,-3.41278,0.552159,-3.15195,0.133952,-1.22999
-84.4765,0.995247,0.4147,2,0,-5.12646,-2.48336,-4.03417,3.86975,-0.93045,0.778271
-84.4438,0.989883,0.674763,1,0,-5.11629,-2.51913,-2.04591,0.534947,-0.963032,0.518027
-84.7226,0.962719,1.07697,1,0,-4.76326,-3.14504,-0.54264,0.201229,0.844923,-0.7097
-85.2241,0.495414,1.6029,0,0,-5.34866,-2.36933,1.48575,-2.50532,-5.04853,0.569821
-84.8279,0.531069,0.800253,1,0,-4.76647,-3.2365,-9.37103,0.1492,-0.590175,-1.61185
-84.9553,0.9662,0.437724,0,0,-4.65212,-3.17847,3.21829,0.652995,3.37467,0.724327
-85.1078,0.889599,0.6553,1,0,-5.29436,-2.27856,-0.744676,3.99428,-3.4545,1.96638
-85.1306,0.927578,0.819424,1,0,-5.32678,-2.35369,-3.85409,2.09579,-4.52651,0.875694
-84.3974,0.960342,1.11359,1,0,-5.02187,-2.58397,4.06745,-2.44263,0.846093,0.747684
-84.3974,0.00432547,1.62305,0,0,-5.02187,-2.58397,-3.29872,-1.05738,0.846093,0.747684
-84.6247,0.991511,0.276633,2,0,-4.87347,-2.69403,-0.0517777,-1.4937,3.79344,1.40998
-84.489,0.989773,0.433762,2,0,-5.0563,-2.79985,3.07741,0.777189,-2.09235,-1.40852
-84.489,0.442941,0.673823,0,0,-5.0563,-2.79985,5.17367,4.92629,-2.09235,-1.40852
-84.3857,0.999733,0.312646,1,0,-4.98493,-2.66289,-1.16716,-0.975752,1.05098,0.451588
-84.3641,0.998188,0.494666,1,0,-5.02046,-2.67606,0.997919,0.35699,0.00755382,-0.0094156
-85.1881,0.836759,0.775823,1,0,-4.70855,-2.85683,1.56439,0.540353,6.70794,2.40944
-86.0563,0.74017,0.853797,0,0,-4.80735,-3.54924,-0.788419,2.64477,-5.95285,-5.43172
-85.559,1,0.76253,1,0,-4.78285,-3.4729,-2.16354,-2.23973,-4.39814,-4.26731
-85.1896,1,1.18829,0,0,-4.77967,-3.37716,-1.79901,-2.40165,-2.95966,-3.21226
-85.1896,2.02969e-46,1.84255,0,0,-4.77967,-3.37716,4.48761,-0.210052,-2.95966,-3.21226
-85.5315,0.977477,0.343181,1,0,-4.88234,-3.36035,3.68607,-1.06375,-4.92892,-4.4518
-85.7109,0.972835,0.508453,0,0,-4.86871,-3.41417,-1.76857,-0.578072,-5.3591,-4.82213
-86.8111,0.66371,0.742824,0,0,-4.87829,-3.59242,2.71263,1.06486,-7.82936,-6.82163
-85.2355,1,0.568094,0,0,-4.58038,-3.54268,-8.18918,-1.07689,-0.865986,-1.90463
-84.4298,0.997409,0.873795,1,0,-5.04261,-2.77135,3.62537,-2.33307,-1.4839,-1.02782
-84.4298,0.0473908,1.33076,0,0,-5.04261,-2.77135,2.44554,1.36515,-1.4839,-1.02782
-84.602,0.995664,0.288287,2,0,-5.17299,-2.64511,0.938857,-1.46667,-3.28328,-1.11262
-84.5766,0.996011,0.438029,2,0,-5.08363,-2.40424,0.0474976,1.96835,0.729068,1.86627
-84.4391,0.971479,0.663147,0,0,-5.08516,-2.70756,0.581662,-2.50193,-1.85961,-0.897559
-84.3838,0.999904,0.951445,1,0,-5.0721,-2.63824,0.248172,0.697858,-0.909454,-0.176151
-84.3838,0.00044589,1.43996,0,0,-5.0721,-2.63824,5.72354,2.70669,-0.909454,-0.176151
-85.2523,0.976751,0.294819,2,0,-4.72155,-3.44899,6.13704,-2.51749,-2.70701,-3.11328
-84.4246,0.990545,0.426784,1,0,-4.94722,-2.8488,-1.37991,4.29336,0.010271,-0.635932
-84.4977,0.991871,0.632591,1,0,-5.08927,-2.45141,-1.99058,1.35303,0.231589,1.36771
-84.6606,0.890106,0.936494,0,0,-4.98104,-2.45868,-0.314756,1.06742,3.06631,2.17819
-84.6606,0.00745217,1.1315,0,0,-4.98104,-2.45868,-3.50298,-5.31888,3.06631,2.17819
-85.6559,0.970407,0.244061,2,0,-4.65496,-2.83804,-0.675176,4.11414,8.75794,3.33686
-85.6208,1,0.346132,0,0,-4.67094,-2.80657,2.20316,0.0142739,8.68892,3.29788
-85.0797,1,0.518061,1,0,-4.85166,-3.27448,-2.77142,-2.16174,-3.12978,-3.18815
-85.0891,0.94435,0.772479,1,0,-5.29475,-2.28909,4.77586,0.121114,-3.51706,1.83308
